Imagen,Ruta,Ancho,Alto,Calidad
VentSuc01_2025-08-18_16-28-25_RS_T80_13.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T80_13.png,299,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T53_23.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T53_23.png,273,288,422
VentSuc01_2025-08-18_16-28-26_RS_T49_35.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T49_35.png,342,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T45_25.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T45_25.png,268,288,422
VentSuc01_2025-08-18_16-28-26_RS_T43_34.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T43_34.png,267,288,422
VentSuc01_2025-08-18_16-28-26_RS_T53_33.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T53_33.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T58_21.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T58_21.png,280,288,422
VentSuc01_2025-08-18_16-28-26_RS_T56_19.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T56_19.png,270,288,422
VentSuc01_2025-08-18_16-28-26_RS_T71_22.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T71_22.png,309,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T58_31.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T58_31.png,329,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T71_20.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T71_20.png,297,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T66_29.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T66_29.png,318,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T67_24.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T67_24.png,319,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T72_16.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T72_16.png,296,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T74_17.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T74_17.png,296,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T76_18.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T76_18.png,299,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T76_26.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T76_26.png,312,288,No_Calidad
VentSuc01_2025-08-18_16-28-27_RS_T42_3.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-27_RS_T42_3.png,270,288,422
VentSuc01_2025-08-18_16-28-26_RS_T77_28.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T77_28.png,315,288,No_Calidad
VentSuc01_2025-08-18_16-28-27_RS_T45_2.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-27_RS_T45_2.png,330,288,No_Calidad
VentSuc01_2025-08-18_16-28-27_RS_T50_6.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-27_RS_T50_6.png,295,288,422
VentSuc01_2025-08-18_16-28-28_RS_T51_17.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T51_17.png,314,288,422
VentSuc01_2025-08-18_16-28-27_RS_T54_4.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-27_RS_T54_4.png,346,288,No_Calidad
VentSuc01_2025-08-18_16-28-27_RS_T51_5.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-27_RS_T51_5.png,337,288,No_Calidad
VentSuc01_2025-08-18_16-28-27_RS_T50_1.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-27_RS_T50_1.png,342,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T64_11.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T64_11.png,358,288,No_Calidad
